@relation vectores_clustered

@attribute Instance_number numeric
@attribute caracteristica0 numeric
@attribute caracteristica1 numeric
@attribute caracteristica2 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8}

@data
139,18545.632813,184.527344,0,cluster0
140,3062.48584,617.039063,0,cluster8
141,4687.666992,541.777344,0,cluster8
142,16544.158203,213.332031,0,cluster0
143,22404.564453,151.414063,0,cluster0
144,4931.315918,1359.898438,0.624205,cluster3
145,817.212708,2404.496094,0.621026,cluster7
146,1009.791992,2048.066406,0.581414,cluster7
147,1109.540405,2675.671875,0.752482,cluster1
148,1333.31958,2389.433594,0.778745,cluster1
149,1452.563843,1557.144531,0.498074,cluster3
150,1816.431885,1612.738281,0.682318,cluster3
151,1601.031372,1424.53125,0.587947,cluster3
152,1874.774658,1043.109375,0.628622,cluster3
153,1542.668579,1667.988281,0.581262,cluster3
154,1405.243408,2066.304688,0.783156,cluster1
155,1487.799805,2461.410156,0.742982,cluster1
156,1625.967407,1627.148438,0.818405,cluster1
157,1406.931641,2194.722656,0.76445,cluster1
158,1559.396973,1713.222656,0.451844,cluster7
159,1361.779175,1636.613281,0.411075,cluster4
160,1045.20459,2432.070313,0.592162,cluster7
161,762.835876,2399.792969,0.549474,cluster7
162,1060.220215,2698.742188,0.267384,cluster2
163,9884.041992,567.027344,0.082002,cluster8
164,27853.205078,130.492188,0,cluster0
165,32501.568359,117,0,cluster0
166,16280.350586,221.898438,0,cluster0
167,18843.095703,211.273438,0,cluster0
168,4157.609375,590.089844,0,cluster8
169,12957.410156,252.859375,0,cluster8
170,22774.210938,147.828125,0,cluster0
171,20563.503906,177.03125,0,cluster0
172,2472.955566,2059.289063,0.503934,cluster7
173,921.56842,2604.46875,0.557769,cluster7
174,1220.878418,2539.515625,0.726385,cluster1
175,1233.036377,1769.65625,0.608039,cluster7
176,1615.047363,1210.136719,0.353477,cluster4
177,1192.744629,2393.28125,0.783334,cluster1
178,1583.016846,1898.082031,0.789958,cluster1
179,1498.094116,1996.953125,0.705243,cluster1
180,1569.930054,2062.03125,0.619527,cluster7
181,1249.898438,2322.160156,0.600463,cluster7
182,1567.570679,1707.230469,0.680969,cluster1
183,1459.325928,2700.574219,0.73924,cluster1
184,1431.300293,2474.726563,0.649098,cluster7
185,1447.854736,2374.152344,0.824175,cluster1
186,1408.084473,1821.890625,0.626967,cluster7
187,1094.280762,2198.609375,0.589929,cluster7
188,976.627625,2911.929688,0.54476,cluster5
189,922.924683,2278.140625,0.587463,cluster7
190,939.953857,2711.359375,0.695741,cluster1
191,6394.568848,712.875,0.295686,cluster4
192,28616.798828,132.75,0,cluster0
193,30924.298828,120.09375,0,cluster0
194,13319.314453,298.289063,0,cluster8
195,15311.470703,232.761719,0,cluster0
196,11077.633789,275.203125,0,cluster8
197,19818.898438,173.335938,0,cluster0
198,22898.34375,155.175781,0,cluster0
199,9131.222656,633.285156,0.260788,cluster4
200,827.005676,3135.761719,0.609173,cluster5
201,948.025696,1907.050781,0.326565,cluster2
202,1259.514893,2291.679688,0.481763,cluster7
203,1437.737305,1991.730469,0.772134,cluster1
204,1443.497437,1962.378906,0.707883,cluster1
205,1484.935181,2117.238281,0.675602,cluster1
206,1542.246582,1957.78125,0.766756,cluster1
207,1675.794922,1865.714844,0.702559,cluster1
208,1841.706543,1121.074219,0.640254,cluster3
209,2065.585938,1032.367188,0.637938,cluster3
210,1961.690308,923.648438,0.409806,cluster4
211,1479.926514,1820.046875,0.610094,cluster7
212,1309.872925,2393.25,0.637379,cluster7
213,1150.840088,2402.015625,0.50293,cluster7
214,1285.650757,2458.757813,0.644784,cluster7
215,1274.414551,2324.417969,0.641278,cluster7
216,999.061707,3161.484375,0.556278,cluster5
217,1128.383179,2971.996094,0.485604,cluster5
218,735.055786,2930.238281,0.48897,cluster5
219,2265.484375,2609.25,0.704849,cluster1
220,20988.929688,183.628906,0,cluster0
221,25217.962891,145.433594,0,cluster0
222,12918.804688,284.082031,0,cluster8
223,25887.072266,148.355469,0,cluster0
224,11382.189453,280.296875,0,cluster8
225,17428.794922,192.441406,0,cluster0
226,20990.746094,167.460938,0,cluster0
227,4071.284668,2064.652344,0.484925,cluster7
228,1062.754639,3280.902344,0.687337,cluster5
229,875.270935,2397.269531,0.482058,cluster7
230,1048.266724,2444.976563,0.648957,cluster7
231,1760.601807,1376.699219,0.514725,cluster3
232,1935.538086,1155.207031,0.700712,cluster3
233,1993.189819,963.96875,0.549578,cluster3
234,1750.979736,1261.589844,0.795692,cluster1
235,1869.45813,1473.558594,0.616572,cluster3
236,1951.815308,1067.117188,0.607449,cluster3
237,1822.412231,1498.128906,0.613434,cluster3
238,1615.450317,1840.945313,0.596931,cluster7
239,1903.68103,974.542969,0.263981,cluster4
240,1100.010742,3227.734375,0.430488,cluster5
241,1324.098145,2194.523438,0.300147,cluster2
242,1445.154419,2445.882813,0.391051,cluster2
243,1246.485107,2047.773438,0.622271,cluster7
244,821.98761,2579.167969,0.606157,cluster7
245,825.425964,2600.949219,0.390475,cluster2
246,722.508545,3394.824219,0.445515,cluster5
247,1287.963867,3115.78125,0.476368,cluster5
248,21458.392578,165.824219,0,cluster0
249,27576.677734,134.640625,0,cluster0
250,23147.675781,161.183594,0,cluster0
251,17452.201172,232.015625,0,cluster0
252,13700.401367,245.207031,0,cluster8
253,21385.304688,159.570313,0,cluster0
254,19973.677734,169.632813,0,cluster0
255,2724.996338,1713.554688,0.250036,cluster6
256,939.879333,3680.617188,0.615692,cluster5
257,973.5578,2793.941406,0.502071,cluster7
258,1159.627563,2107.636719,0.518577,cluster7
259,1360.91394,1511.921875,0.641442,cluster3
260,1787.345215,1377.414063,0.823189,cluster1
261,1643.421509,1994.410156,0.84079,cluster1
262,1679.556885,2030.601563,0.897677,cluster1
263,1625.075562,2152.417969,0.853681,cluster1
264,1693.497559,1668.253906,0.540318,cluster3
265,2071.50708,941.304688,0.475463,cluster3
266,1687.370117,1604.910156,0.428775,cluster4
267,2095.219971,869.054688,0.336961,cluster4
268,1836.371826,998.289063,0.686015,cluster3
269,1331.57019,1486.6875,0.237501,cluster6
270,1196.28125,3126.722656,0.410388,cluster5
271,1369.179077,2085.5625,0.563381,cluster7
272,1075.281494,2124.769531,0.553271,cluster7
273,883.026184,2794.84375,0.513603,cluster7
274,1421.60144,1854.335938,0.505545,cluster7
275,693.528137,3192.976563,0.483494,cluster5
276,19563.025391,186.804688,0,cluster0
277,25191.841797,135.785156,0,cluster0
278,25045.298828,144.402344,0,cluster0
279,16376.561523,241.246094,0,cluster0
280,15394.619141,253.402344,0,cluster0
281,13163.46582,389.523438,0,cluster8
282,26553.59375,130.4375,0,cluster0
283,2432.880371,1858.179688,0.389269,cluster2
284,782.775513,2451.378906,0.387332,cluster2
285,1029.850464,1790.628906,0.372735,cluster2
286,1520.208252,1366.492188,0.482418,cluster3
287,2087.431396,839.570313,0.469127,cluster3
288,1344.487427,2322.160156,0.393016,cluster2
289,1544.845337,1961.757813,0.333806,cluster2
290,2092.827637,1059.773438,0.568279,cluster3
291,2013.550049,1060.410156,0.327179,cluster4
292,1248.840454,2221.039063,0.049967,cluster6
293,1894.546631,922.316406,0.547599,cluster3
294,2582.779297,476.648438,0.290966,cluster4
295,1546.125244,2050.019531,0.062552,cluster6
296,1438.870361,3029.003906,0.551464,cluster5
297,1378.478271,2101.433594,0.485781,cluster7
298,1415.619751,2375.78125,0.512356,cluster7
299,1408.0271,1788.769531,0.267387,cluster2
300,1365.453125,1570.847656,0.287511,cluster4
301,909.218018,3427.792969,0.217023,cluster2
302,807.293091,2584.363281,0.27428,cluster2
303,765.644714,3478.632813,0.344019,cluster2
304,17648.554688,242.199219,0,cluster0
305,28696.544922,131.71875,0,cluster0
306,29875.798828,123.785156,0,cluster0
307,22035.484375,177.054688,0,cluster0
308,14800.745117,259.816406,0,cluster0
309,20259.957031,176.359375,0,cluster0
310,18307.701172,188.695313,0,cluster0
311,2495.177734,1128.140625,0.224177,cluster4
312,754.565247,2350.148438,0.48125,cluster7
313,1132.574463,2017.03125,0.479821,cluster7
314,1560.4104,1367.695313,0.486489,cluster3
315,1425.392212,1876.007813,0.445261,cluster7
316,1735.102661,1636.617188,0.686223,cluster3
317,2335.897705,710.796875,0.160608,cluster4
318,1678.569092,1295.847656,0.482923,cluster3
319,2154.235352,854.148438,0.141279,cluster6
320,1908.888916,1206.800781,0.18418,cluster6
321,2743.881836,485.214844,0.285699,cluster4
322,1575.52063,2273.476563,0.56072,cluster7
323,1980.471924,1417.011719,0.749769,cluster1
324,1337.652954,2752.273438,0.62028,cluster7
325,1095.289673,3000.109375,0.572575,cluster5
326,1425.373047,2540.632813,0.368899,cluster2
327,1404.123657,2395.144531,0.186848,cluster2
328,1217.859131,2589.90625,0.421559,cluster2
329,1041.466064,2896.566406,0.149122,cluster2
330,990.630676,3693.046875,0.5436,cluster5
331,686.728882,3516.925781,0.524641,cluster5
332,4067.98877,2114.046875,0,cluster6
333,25702.460938,136.257813,0,cluster0
334,16037.44043,243.25,0,cluster0
335,24854.386719,151.324219,0,cluster0
336,12449.581055,285.613281,0,cluster8
337,19433.810547,183.332031,0,cluster0
338,18643.492188,166.289063,0,cluster0
339,975.438354,2275.160156,0.224377,cluster2
340,821.640076,1968.605469,0.327769,cluster2
341,990.791809,2639.613281,0.47405,cluster7
342,1239.141724,1412.070313,0.346017,cluster4
343,1671.775879,1299.070313,0.711869,cluster3
344,1422.588135,1316.628906,0.39715,cluster4
345,2379.243896,700.152344,0.281686,cluster4
346,1728.650513,1583.890625,0.559924,cluster3
347,1376.204346,2324.382813,0.561461,cluster7
348,1453.432495,2022.410156,0.516411,cluster7
349,1693.266113,1402.535156,0.522834,cluster3
350,1184.439697,2573.722656,0.664739,cluster1
351,1564.221313,2891.578125,0.652009,cluster5
352,1300.142822,2879.84375,0.477643,cluster5
353,1109.549316,3398.664063,0.633009,cluster5
354,1121.467529,2975.65625,0.4059,cluster2
355,932.71521,3443.132813,0.16223,cluster2
356,1287.860107,2587.453125,0.056085,cluster6
357,1107.002686,2087.339844,0.328572,cluster2
358,786.26123,3033.671875,0.378073,cluster2
359,714.536316,4820.96875,0.642541,cluster5
360,16444.458984,263.636719,0,cluster0
361,23565.925781,147.9375,0,cluster0
362,24484.457031,148.679688,0,cluster0
363,22641.347656,173.582031,0,cluster0
364,14863.982422,250.214844,0,cluster0
365,17980.916016,186.238281,0,cluster0
366,9777.37793,397.160156,0,cluster8
367,2901.530273,1057.070313,0.213012,cluster4
368,726.331848,2868.945313,0.450713,cluster5
369,832.875793,1980.714844,0.564684,cluster7
370,1138.77771,2584.449219,0.639118,cluster7
371,1587.441162,1616.800781,0.476129,cluster3
372,1292.736694,1756.546875,0.222373,cluster6
373,2193.716553,958.339844,0.42332,cluster4
374,1348.007935,2420.539063,0.6921,cluster1
375,2189.780029,748.449219,0.104269,cluster6
376,1602.900879,2256.210938,0.768319,cluster1
377,1768.960693,1328.71875,0.366939,cluster4
378,1200.616455,2760.644531,0.682153,cluster1
379,1220.298828,3250.3125,0.622951,cluster5
380,1211.846802,3045.789063,0.682618,cluster5
381,1241.098633,2504.648438,0.571795,cluster7
382,751.701416,3406.472656,0.216388,cluster2
383,986.956604,3216.355469,0.339617,cluster2
384,1028.534302,2723.046875,0.200697,cluster2
385,1372.534424,2009.003906,0.240248,cluster2
386,1088.153442,3391.136719,0.805891,cluster1
387,691.428833,4737.617188,0.463363,cluster5
388,10321.692383,673.460938,0.493773,cluster3
389,23926.292969,158.277344,0,cluster0
390,28724.189453,118.851563,0,cluster0
391,34226.585938,112.890625,0,cluster0
392,17060.417969,204.335938,0,cluster0
393,23936.617188,141.992188,0,cluster0
394,14372.209961,263.417969,0,cluster8
395,895.703613,2537.78125,0.623727,cluster7
396,1047.795044,2430.128906,0.114483,cluster6
397,938.25885,1827.085938,0.332199,cluster2
398,1289.979004,1706.90625,0.480794,cluster7
399,1578.472168,1551.566406,0.589446,cluster3
400,1226.948486,2159.597656,0.531771,cluster7
401,1513.155029,1911.15625,0.747757,cluster1
402,1434.044678,2350.285156,0.748132,cluster1
403,1741.453735,1430.527344,0.684094,cluster3
404,1442.877808,2225.242188,0.495061,cluster7
405,1524.186035,2198.121094,0.643232,cluster7
406,1489.155396,1914.882813,0.699457,cluster1
407,1418.42749,2075.027344,0.652092,cluster7
408,1369.825439,2345.417969,0.637581,cluster7
409,1137.937866,3312.925781,0.546619,cluster5
410,1142.304077,2960.109375,0.527056,cluster5
411,1155.446167,2866.855469,0.425913,cluster2
412,725.767334,3291.875,0.189996,cluster2
413,901.740417,2756.15625,0.210675,cluster2
414,855.576111,3490.808594,0.540622,cluster5
415,663.262451,3652.507813,0.600544,cluster5
416,3786.20874,1952.777344,0.272626,cluster2
417,27193.996094,130.363281,0,cluster0
418,16588.867188,212.359375,0,cluster0
419,25597.673828,153.871094,0,cluster0
420,10091.698242,432.007813,0,cluster8
421,21486.255859,160.339844,0,cluster0
422,4625.919434,1174.644531,0.393471,cluster4
423,1083.336304,1992.726563,0.581562,cluster7
424,895.798828,2204.296875,0.434821,cluster7
425,849.955017,2651.039063,0.462746,cluster7
426,1720.724365,1262.777344,0.731404,cluster3
427,1481.914551,1568.765625,0.849562,cluster1
428,1266.768066,1405.292969,0.76963,cluster1
429,1133.439331,1677.789063,0.594218,cluster3
430,1245.283936,2474.890625,0.644235,cluster7
431,1093.80249,2096.148438,0.571439,cluster7
432,1073.065918,2788.191406,0.608778,cluster7
433,1394.412964,2703.878906,0.834845,cluster1
434,1557.518799,2300.363281,0.81034,cluster1
435,1493.330322,2132.886719,0.767051,cluster1
436,1025.339233,3939.785156,0.806242,cluster5
437,1126.71875,3397.867188,0.547499,cluster5
438,796.896118,3753.355469,0.262011,cluster2
439,1025.752075,3564.851563,0.283495,cluster2
440,728.971313,2962.945313,0.030224,cluster6
441,751.142639,3010.203125,0.232833,cluster2
442,777.933838,3721.542969,0.509573,cluster5
443,984.207153,2959.976563,0.521177,cluster5
444,5482.08252,992.046875,0.305387,cluster4
445,26096.294922,134.324219,0,cluster0
446,23760,148.542969,0,cluster0
447,25399.833984,161.398438,0,cluster0
448,14479.266602,244.609375,0,cluster8
449,25206.738281,126.828125,0,cluster0
450,3385.456787,1329.867188,0.415167,cluster4
451,956.926025,3446.886719,0.717326,cluster5
452,963.805481,2674.320313,0.436922,cluster2
453,796.232788,3513.429688,0.579545,cluster5
454,848.643677,3312.085938,0.642588,cluster5
455,1443.429565,1765.242188,0.68419,cluster1
456,1756.745605,1400.171875,0.812293,cluster1
457,1528.006714,1869.71875,0.684219,cluster1
458,1471.739624,1900.265625,0.597788,cluster7
459,1939.709839,1076.148438,0.548909,cluster3
460,1873.14624,1224.863281,0.598695,cluster3
461,1337.5979,2335.210938,0.803179,cluster1
462,1453.637939,2790.539063,0.879586,cluster1
463,1442.088257,2044.308594,0.893362,cluster1
464,1334.477173,2223.882813,0.733198,cluster1
465,1180.219971,3550.792969,0.622249,cluster5
466,1053.059692,3302.8125,0.481783,cluster5
467,1077.149414,3253.625,0.435731,cluster5
468,949.139465,2728.304688,0.103745,cluster2
469,699.509521,2873.050781,0.239151,cluster2
470,946.825684,2673.019531,0.371391,cluster2
471,983.234436,3045.359375,0.586531,cluster5
472,7786.892578,561.945313,0.129633,cluster8
473,15909.245117,230.957031,0,cluster0
474,18030.617188,194.628906,0,cluster0
475,21861.314453,182.46875,0,cluster0
476,11376.5625,339.386719,0,cluster8
477,20045.644531,167.0625,0,cluster0
478,3384.781738,1322.84375,0.374675,cluster4
479,837.263428,2620.972656,0.651979,cluster7
480,900.008179,2102.625,0.359122,cluster2
481,879.507507,2243.949219,0.449484,cluster7
482,1257.055786,2357.492188,0.613917,cluster7
483,1226.934937,2358.5,0.365372,cluster2
484,1081.162231,2209.0625,0.7122,cluster1
485,1815.02356,1068.027344,0.505964,cluster3
486,1430.270752,2079.242188,0.716213,cluster1
487,2653.415771,597.183594,0.770362,cluster3
488,2428.271973,543.71875,0.398973,cluster4
489,2123.12793,951.265625,0.552589,cluster3
490,1648.075928,1466.285156,0.819845,cluster1
491,1518.564453,1912.085938,0.663065,cluster7
492,1435.358398,2624.277344,0.698695,cluster1
493,1119.886719,3950.339844,0.748626,cluster5
494,1109.115845,3644.835938,0.552275,cluster5
495,865.621094,3499.671875,0.626575,cluster5
496,763.093628,3845.644531,0.430465,cluster5
497,916.836975,2522.324219,0.481615,cluster7
498,755.325928,2934.628906,0.332457,cluster2
499,747.118774,3254.84375,0.450526,cluster5
500,14972.681641,248.527344,0,cluster0
501,23902.050781,140.285156,0,cluster0
502,24818.824219,139.394531,0,cluster0
503,20291.599609,181.753906,0,cluster0
504,13956.508789,232.363281,0,cluster8
505,19401.601563,159.902344,0,cluster0
