@relation vectores

@attribute caracteristica0 NUMERIC
@attribute caracteristica1 NUMERIC
@attribute caracteristica2 NUMERIC

@data
8958.50390625,404.484375,0
11895.958984375,273.359375,0
2433.4365234375,985.69921875,0
8776.6298828125,206.46484375,0
5924.70068359375,339.8828125,0
2585.9873046875,1063.0625,0
6915.38134765625,651.0546875,0
15660.2958984375,208.6640625,0
7388.20703125,738.8046875,0.488622705433445
1575.61767578125,1459.15234375,0.370704136825596
906.783020019531,1860.7109375,0.746917618588563
849.38916015625,2045.375,0.828548242591229
737.334777832031,2739.04296875,0.921896965499945
746.667907714844,2837.05859375,0.877747949807868
851.6181640625,3099.2109375,0.914289816532225
899.645690917969,1983.48828125,0.826675698019045
1186.26123046875,1683.13671875,0.789618593325265
1091.40454101563,2054.734375,0.779828449240937
754.012451171875,2753.73046875,0.702350378002013
1112.67053222656,2017.5390625,0.693095219196691
2804.087890625,1268.9609375,0.652817672400848
5018.92578125,717.68359375,0.820597276848076
3117.81958007813,837.6484375,0
3172.78002929688,817.66796875,0
9406.080078125,244.97265625,0
9173.3349609375,198.34765625,0
3412.99877929688,574.9609375,0
8746.40625,297.37109375,0
10127.2626953125,301.38671875,0
4333.67236328125,634.48046875,0
6747.87548828125,288.71875,0
6485.7421875,313.40625,0
3693.87890625,748.05859375,0
17377.005859375,198.359375,0
20039.056640625,164.09375,0
4128.6123046875,1280.71875,0.623649921120101
1284.76623535156,1708.99609375,0.522730301853751
888.534118652344,2748.6953125,0.667194012110448
781.552185058594,2598.5078125,0.725686073341968
1050.03845214844,2066.5546875,0.831416146246927
1004.90844726563,2248.16796875,0.851196315513907
900.795654296875,2527.72265625,0.861703255152988
877.431274414063,2137.6796875,0.800316692322099
950.675537109375,1670.61328125,0.725632530864038
806.882202148438,2421.50390625,0.638186182011737
742.765747070313,2457.95703125,0.797175544435236
884.679443359375,2148.47265625,0.602155827452136
731.760498046875,2605.98828125,0.708233001166307
848.77978515625,2453.1484375,0.654830894903407
1659.39709472656,2236.9921875,0.487098221017669
20686.642578125,172.3203125,0
6745.92626953125,474.46484375,0
17867.876953125,159.09375,0
6656.1494140625,405.4921875,0
4129.60400390625,504.50390625,0
3435.41552734375,734.05078125,0
4187.8076171875,733.7890625,0
1461.15148925781,1123.33203125,0
7620.06884765625,288.73046875,0
4057.43505859375,601.1015625,0
12909.8544921875,255.015625,0
18638.71875,188.33203125,0
3908.97045898438,1520.16796875,0.359860107887545
1445.35778808594,1848.6875,0.449972248889016
898.501342773438,1833.671875,0.468600512944514
1351.33203125,1504.203125,0.83147415274116
1131.29968261719,2339.21875,0.901512481699637
790.0849609375,2628.421875,0.745784988009417
847.898254394531,3461.34375,0.832286214227096
1201.84448242188,2760.18359375,0.791659332582751
1105.94738769531,2861.0546875,0.821056398104529
1242.95922851563,1806,0.788392927853987
1093.75500488281,2336.35546875,0.833485989540998
1092.52331542969,2011.4140625,0.774028679020643
907.109252929688,1894.5,0.526556768526608
794.469055175781,2272.42578125,0.755457508373896
764.532958984375,2895.609375,0.604886040886041
1295.19213867188,1760.859375,0.552046333984945
6808.435546875,784.38671875,0.344426631677476
20661.15234375,173.1796875,0
7928.17138671875,594.609375,0
10694.5556640625,342.12109375,0
11515.4560546875,265.29296875,0
7675.7998046875,328.50390625,0
2847.46484375,683.05078125,0
2604.98071289063,701.77734375,0
9151.0771484375,296.17578125,0
11631.25390625,301.31640625,0
22169.08984375,150.70703125,0
5729.5966796875,889.1640625,0.568760478740605
937.458618164063,2148.359375,0.719646051598891
794.318664550781,2654.42578125,0.710017137806395
987.05810546875,2667.17578125,0.813366108885831
1036.02197265625,2733.08203125,0.77987782191593
1472.79919433594,1877.5546875,0.858090102939433
1299.72729492188,2337.78125,0.858594255810772
1315.94616699219,2437.91015625,0.916024059484394
1277.12231445313,2098.20703125,0.754212560394281
1219.45483398438,2601.828125,0.519846539433295
1006.35925292969,2676.62109375,0.788999668787039
1517.98681640625,1835.27734375,0.796057721862766
1172.66833496094,1796.69140625,0.789243023775524
778.616088867188,2838.7265625,0.673932804155111
725.880615234375,3763.4453125,0.644367827508916
783.152587890625,2502.05078125,0.576145135917767
735.666076660156,2469.74609375,0.59346533762557
1889.21704101563,2769.73046875,0.41389277039221
30989.171875,121.59375,0
23053.42578125,159.9375,0
14535.896484375,229.8671875,0
14306.330078125,234.98046875,0
10806.7255859375,303.0625,0
3275.64038085938,554.7421875,0
6017.814453125,359.6484375,0
9147.93359375,324.41015625,0
27898.4921875,119.52734375,0
11012.9560546875,465.45703125,0.573531776726242
1431.81396484375,2909.66015625,0.474262789592748
907.584777832031,2133.1328125,0.57677000194186
798.123046875,3122.390625,0.726358730904017
1092.19165039063,2697.20703125,0.869076493221777
1432.46276855469,2259.13671875,0.818418925251584
986.602661132813,2716.7421875,0.862247381481251
1008.03900146484,3333.6953125,0.778390300018972
980.598876953125,3290.1015625,0.807019211091464
1007.86309814453,2512.609375,0.777689564001754
1178.87622070313,2928.91015625,0.813684283084303
1317.02917480469,2320.6640625,0.842401257731955
1415.42419433594,2303.05078125,0.725800401043813
1434.19116210938,2524.1171875,0.517330025076882
1256.67687988281,2263.92578125,0.6532810448979
1078.83129882813,2523.5546875,0.569890507913141
811.369384765625,2921.44140625,0.709135040334085
757.954895019531,2626.00390625,0.516297805427394
995.681701660156,3274.26171875,0.611151446100419
21816.453125,160.40234375,0
23299.732421875,156.6484375,0
19849.779296875,187.26171875,0
25943.873046875,137.37890625,0
18545.6328125,184.52734375,0
3062.48583984375,617.0390625,0
4687.6669921875,541.77734375,0
16544.158203125,213.33203125,0
22404.564453125,151.4140625,0
4931.31591796875,1359.8984375,0.624205283301546
817.212707519531,2404.49609375,0.621025657750323
1009.7919921875,2048.06640625,0.58141423384674
1109.54040527344,2675.671875,0.752482029083723
1333.31958007813,2389.43359375,0.778744551680736
1452.56384277344,1557.14453125,0.498074487429037
1816.43188476563,1612.73828125,0.682317774365902
1601.03137207031,1424.53125,0.587946627782609
1874.77465820313,1043.109375,0.628621777743421
1542.66857910156,1667.98828125,0.581261961469857
1405.24340820313,2066.3046875,0.783155982723443
1487.7998046875,2461.41015625,0.742982328301803
1625.96740722656,1627.1484375,0.81840522303236
1406.931640625,2194.72265625,0.764449906363308
1559.39697265625,1713.22265625,0.451843565389381
1361.77917480469,1636.61328125,0.411074821238173
1045.20458984375,2432.0703125,0.592162237004135
762.835876464844,2399.79296875,0.549473793677432
1060.22021484375,2698.7421875,0.2673842575864
9884.0419921875,567.02734375,0.0820021911153435
27853.205078125,130.4921875,0
32501.568359375,117,0
16280.3505859375,221.8984375,0
18843.095703125,211.2734375,0
4157.609375,590.08984375,0
12957.41015625,252.859375,0
22774.2109375,147.828125,0
20563.50390625,177.03125,0
2472.95556640625,2059.2890625,0.503934142705735
921.568420410156,2604.46875,0.55776922383207
1220.87841796875,2539.515625,0.72638473261193
1233.03637695313,1769.65625,0.608039324879485
1615.04736328125,1210.13671875,0.353476806846989
1192.74462890625,2393.28125,0.783334311236159
1583.01684570313,1898.08203125,0.78995783996395
1498.09411621094,1996.953125,0.705242927747154
1569.93005371094,2062.03125,0.619527012498673
1249.8984375,2322.16015625,0.600463478992436
1567.57067871094,1707.23046875,0.68096940267492
1459.32592773438,2700.57421875,0.739239977125821
1431.30029296875,2474.7265625,0.649098046677354
1447.85473632813,2374.15234375,0.824174535829417
1408.08447265625,1821.890625,0.626966992691566
1094.28076171875,2198.609375,0.589929208573285
976.627624511719,2911.9296875,0.544759723447904
922.924682617188,2278.140625,0.587463212718339
939.953857421875,2711.359375,0.695740591652715
